name,id,idMovie
Jerry Bruckheimer Films,130,9543
Legendary Pictures,923,68726
Warner Bros.,6194,68726
Disney Double Dare You (DDY),19750,68726
Indochina Productions,19751,68726
Paramount Pictures,4,38356
Di Bonaventura Pictures,435,38356
Indochina Productions,19751,38356
Hasbro Studios,22826,38356
Lucasfilm,1,217
Paramount Pictures,4,217
Walt Disney Pictures,2,105864
Pixar Animation Studios,3,105864
Walt Disney Pictures,2,62177
Pixar Animation Studios,3,62177
Paramount Pictures,4,188927
Bad Robot,11461,188927
Perfect Storm Entertainment,34530,188927
Alibaba Pictures Group,69484,188927
Skydance Media,82819,188927
Sneaky Shark,83644,188927
Huahua Media,83645,188927
Walt Disney Pictures,2,10681
Pixar Animation Studios,3,10681
FortyFour Studios,93408,10681
New Line Cinema,12,5174
Columbia Pictures,5,14161
Centropolis Entertainment,347,14161
The Mark Gordon Company,1557,14161
Farewell Productions,10905,14161
Walt Disney,5888,17979
ImageMovers,11395,17979
Village Roadshow Pictures,79,76757
Dune Entertainment,444,76757
Anarchos Productions,450,76757
Warner Bros.,6194,76757
Village Roadshow Pictures,79,258489
Dark Horse Entertainment,552,258489
Jerry Weintraub Productions,2596,258489
RatPac-Dune Entertainment,41624,258489
Beagle Pug Films,46339,258489
Riche Productions,86565,258489
Village Roadshow Films North America,86566,258489
Walt Disney,5888,411
Walden Media,10221,411
Twentieth Century Fox Film Corporation,306,246655
Donners' Company,431,246655
Marvel Entertainment,7505,246655
Bad Hat Harry Productions,9168,246655
TSG Entertainment,22213,246655
Kinberg Genre,78091,246655
DC Comics,429,155
Legendary Pictures,923,155
Warner Bros.,6194,155
DC Entertainment,9993,155
Syncopy,9996,155
Pixar Animation Studios,3,14160
DreamWorks Animation,521,15512
Marvel Studios,420,1726
Paramount Pictures,4,44826
Infinitum Nihil,2691,44826
GK Films,3281,44826
"Todman, Simon, LeMasters Productions",2507,8487
Warner Bros.,6194,8487
Peters Entertainment,16774,8487
Sonnenfeld Josephson Worldwide Entertainment,57088,8487
Universal Pictures,33,1735
China Film Co-Production Corporation,2269,1735
Relativity Media,7295,1735
Alphaville Films,11462,1735
"Sommers Company, The",19643,1735
DC Comics,429,297761
Dune Entertainment,444,297761
Atlas Entertainment,507,297761
Warner Bros.,6194,297761
DC Entertainment,9993,297761
Columbia Pictures,5,2698
Universal Pictures,33,2698
Spyglass Entertainment,158,2698
Shady Acres Entertainment,159,2698
Original Film,333,2698
Playtone,4171,2698
Relativity Media,7295,2698
Village Roadshow Pictures,79,137113
Warner Bros.,6194,137113
Viz Media,6687,137113
Province of British Columbia Production Services Tax Credit,12200,137113
3 Arts Entertainment,36390,137113
RatPac-Dune Entertainment,41624,137113
Universal Pictures,33,9804
Gordon Company,1073,9804
Davis Entertainment,1302,9804
Licht/Mueller Film Corporation,6092,9804
Paramount Pictures,4,14869
Spyglass Entertainment,158,14869
Di Bonaventura Pictures,435,14869
Hasbro,2598,14869
Kontsept Film Company,76067,14869
Walt Disney Pictures,2,150540
Pixar Animation Studios,3,150540
Walt Disney Pictures,2,278927
Walt Disney Studios Motion Pictures,3036,278927
Fairview Entertainment,7297,278927
Moving Picture Company (MPC),20478,278927
Marvel Studios,420,10138
Universal Pictures,33,58595
Roth Films,16314,58595
Walt Disney Pictures,2,102651
Walt Disney Studios Motion Pictures,3036,102651
Roth Films,16314,102651
Ingenious Media,290,119450
Chernin Entertainment,7076,119450
TSG Entertainment,22213,119450
Corsan,7299,79698
Bliss Media,8186,79698
Limelight International Media Entertainment,8187,79698
Neelmudra Entertainment,8188,79698
Aristos Films,76098,79698
Singularity Productions,76099,79698
Wildkite,76100,79698
Mid Atlantic Films,2735,64686
Stuber Productions,4403,64686
Universal,6292,64686
Moving Picture Company (MPC),20478,64686
H2F Entertainment,20851,64686
Marvel Studios,420,100402
DreamWorks Animation,521,10192
Walt Disney Pictures,2,158852
Babieka,20656,158852
A113,59778,158852
Walt Disney Pictures,2,177572
Walt Disney Animation Studios,6125,177572
Walt Disney Animation Studios,6125,82690
Golden Mean,1867,5255
Playtone,4171,5255
ImageMovers,11395,5255
Twentieth Century Fox Film Corporation,306,47933
Centropolis Entertainment,347,47933
TSG Entertainment,22213,47933
Stereo D,86561,47933
DreamWorks Animation,521,10191
Vertigo Entertainment,829,10191
Mad Hatter Entertainment,20154,10191
Columbia Pictures,5,296
Intermedia Films,763,296
Warner Bros.,6194,296
C-2 Pictures,7340,296
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116,296
Mostow/Lieberman Productions,23636,296
Marvel Studios,420,118340
Moving Picture Company (MPC),20478,118340
Bulletproof Cupid,54850,118340
Revolution Sun Studios,76043,118340
Paramount Pictures,4,157336
Legendary Pictures,923,157336
Warner Bros.,6194,157336
Syncopy,9996,157336
Lynda Obst Productions,13769,157336
Legendary Pictures,923,27205
Warner Bros.,6194,27205
Syncopy,9996,27205
Cine Bazar,5896,315011
Toho Pictures,49301,315011
WingNut Films,11,49051
New Line Cinema,12,49051
Warner Bros. Pictures,174,49051
Metro-Goldwyn-Mayer (MGM),8411,49051
Universal Pictures,33,9799
Original Film,333,9799
Ardustry Entertainment,26281,9799
Mediastream Film GmbH & Co. Productions KG,26282,9799
Paramount Pictures,4,4922
Warner Bros.,6194,4922
"Kennedy/Marshall Company, The",7383,4922
Ingenious Film Partners,289,49538
Ingenious Media,290,49538
Twentieth Century Fox Film Corporation,306,49538
Donners' Company,431,49538
Dune Entertainment,444,49538
Dune Entertainment III,6332,49538
Marvel Entertainment,7505,49538
Bad Hat Harry Productions,9168,49538
Big Screen Productions,10893,49538
Studio Babelsberg,264,131634
Lionsgate,1632,131634
Color Force,5420,131634
Walt Disney Pictures,2,27022
Jerry Bruckheimer Films,130,27022
Saturn Films,831,27022
Broken Road Productions,8000,27022
Junction Entertainment,19097,27022
Virtual Studios,449,503
Next Entertainment,1633,503
Warner Bros.,6194,503
Irwin Allen Productions,14024,503
Radiant Productions,18990,503
Synthesis Entertainment,19943,503
Walt Disney Pictures,2,241259
Team Todd,598,241259
Tim Burton Productions,8601,241259
Roth Films,16314,241259
Legend3D,37455,241259
DreamWorks SKG,27,810
DreamWorks Animation,521,810
Universal Pictures,33,68735
Atlas Entertainment,507,68735
Legendary Pictures,923,68735
Blizzard Entertainment,16028,68735
Paramount Pictures,4,87101
Annapurna Pictures,13184,87101
Skydance Media,82819,87101
Dune Entertainment,444,10140
Fox 2000 Pictures,711,10140
Walden Media,10221,10140
Jerry Bruckheimer Films,130,676
Touchstone Pictures,9195,676
Paramount Pictures,4,1858
DreamWorks SKG,27,1858
Amblin Entertainment,56,1858
Di Bonaventura Pictures,435,1858
Platinum Dunes,2481,1858
thinkfilm,12247,1858
SprocketHeads,20011,1858
Hasbro Studios,22826,1858
Revolution Sun Studios,76043,1858
France 3 Cinéma,591,1966
Intermedia Films,763,1966
Pathé Renn Productions,866,1966
Egmond Film & Television,4588,1966
Warner Bros.,6194,1966
Pacifica Film,10926,1966
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116,1966
WR Universal Group,54997,1966
Warner Bros.,6194,675
Heyday Films,7364,675
Patalex IV Productions Limited,462,674
Warner Bros.,6194,674
Heyday Films,7364,674
Columbia Pictures,5,8960
Weed Road Pictures,433,8960
Forward Pass,675,8960
Relativity Media,7295,8960
Overbrook Entertainment,12485,8960
Blue Light,28064,8960
GH Three,41756,8960
Village Roadshow Pictures,79,6479
Original Film,333,6479
Weed Road Pictures,433,6479
Warner Bros.,6194,6479
Heyday Films,7364,6479
Overbrook Entertainment,12485,6479
Village Roadshow Pictures,79,118
The Zanuck Company,80,118
Warner Bros.,6194,118
Tim Burton Productions,8601,118
Plan B Entertainment,45778,118
Theobald Film Productions,55512,118
Walt Disney Pictures,2,2062
Pixar Animation Studios,3,2062
DC Comics,429,272
Legendary Pictures,923,272
Warner Bros.,6194,272
DC Entertainment,9993,272
Syncopy,9996,272
Patalex III Productions Limited,19231,272
DreamWorks Animation,521,10527
Twentieth Century Fox Film Corporation,306,18360
1492 Pictures,436,18360
Dune Entertainment,444,18360
21 Laps Entertainment,2575,18360
Museum Canada Productions,10224,18360
Moving Picture Company (MPC),20478,18360
Ingenious Film Partners,289,2080
Twentieth Century Fox Film Corporation,306,2080
Donners' Company,431,2080
Dune Entertainment,444,2080
Seed Productions,9076,2080
Bad Hat Harry Productions,9168,2080
Big Screen Productions,10893,2080
Marvel Enterprises,19551,2080
Village Roadshow Pictures,79,605
NPV Entertainment,172,605
Silver Pictures,1885,605
Warner Bros.,6194,605
Walt Disney Pictures,2,109445
Walt Disney Animation Studios,6125,109445
Village Roadshow Pictures,79,604
NPV Entertainment,172,604
Heineken Branded Entertainment,375,604
Silver Pictures,1885,604
Warner Bros.,6194,604
Marvel Studios,420,76338
Village Roadshow Pictures,79,76341
Kennedy Miller Productions,2537,76341
Warner Bros.,6194,76341
Columbia Pictures,5,13448
Imagine Entertainment,23,13448
Panorama Films,5561,13448
Skylark Productions,8253,13448
Marvel Studios,420,10195
Walt Disney Animation Studios,6125,13053
Walt Disney Pictures,2,19585
Jerry Bruckheimer Films,130,19585
Whamaphram Productions,3639,19585
Legendary Pictures,923,57165
Thunder Road Pictures,3528,57165
Warner Bros.,6194,57165
Cott Productions,24175,57165
"Furia de Titanes II, A.I.E.",24176,57165
Village Roadshow Pictures,79,62213
Infinitum Nihil,2691,62213
GK Films,3281,62213
Warner Bros.,6194,62213
Tim Burton Productions,8601,62213
Dan Curtis Productions,9228,62213
"Zanuck Company, The",20004,62213
Paramount Pictures,4,177677
Skydance Productions,6277,177677
China Movie Channel,11413,177677
Bad Robot,11461,177677
TC Productions,21777,177677
Alibaba Pictures Group,69484,177677
Odin,69485,177677
Universal Pictures,33,7978
Stuber Productions,4403,7978
Relativity Media,7295,7978
Pacific Data Images (PDI),520,5559
DreamWorks Animation,521,5559
Columbus 81 Productions,1903,5559
DreamWorks Animation,521,49444
Paramount Pictures,4,10196
Nickelodeon Movies,2348,10196
"Kennedy/Marshall Company, The",7383,10196
Industrial Light & Magic (ILM),8805,10196
Blinding Edge Pictures,12236,10196
Paramount Pictures,4,956
Cruise/Wagner Productions,44,956
Studio Babelsberg,264,956
MI 3 Film,658,956
China Film Co-Production Corporation,2269,956
China Film Group Corporation (CFGC),14714,956
The Fourth Production Company Film Group,22102,956
Columbia Pictures,5,117251
Centropolis Entertainment,347,117251
Iron Horse Entertainment (II),34981,117251
Mythology Entertainment (II),34982,117251
Walt Disney Animation Studios,6125,50321
Aardman Animations,297,11619
DreamWorks Animation,521,11619
Warner Bros.,6194,266647
Moving Picture Company (MPC),20478,266647
Berlanti Productions,27711,266647
RatPac-Dune Entertainment,41624,266647
Pacific Data Images (PDI),520,82703
DreamWorks Animation,521,82703
Classic Media Productions,73951,82703
Bullwinkle Studios,73952,82703
Plan B Entertainment,81,652
Warner Bros.,6194,652
Nimar Studios,7636,652
Radiant Productions,18990,652
Helena Productions,19107,652
Latina Pictures,19108,652
DreamWorks Animation,521,80321
Eon Productions,7576,36669
Columbia Pictures,5,43074
Village Roadshow Pictures,79,43074
"Montecito Picture Company, The",4607,43074
LStar Capital,34034,43074
Feigco Entertainment,61791,43074
Pascal Pictures,84041,43074
Ghostcorps,84042,43074
Jerry Bruckheimer Films,130,95
Touchstone Pictures,9195,95
Valhalla Motion Pictures,11533,95
Columbia Pictures,5,608
Amblin Entertainment,56,608
Columbia Pictures Corporation,441,608
Parkes+MacDonald Image Nation,49325,608
Paramount Pictures,4,2310
Shangri-La Entertainment,2265,2310
ImageMovers,11395,2310
Paramount Animation,24955,2310
Twentieth Century Fox Film Corporation,306,140300
DreamWorks Animation,521,140300
China Film Co.,40890,140300
Oriental DreamWorks,76266,140300
Paramount Pictures,4,56292
Skydance Productions,6277,56292
Bad Robot,11461,56292
TC Productions,21777,56292
Revolution Sun Studios,76043,56292
Kontsept Film Company,76067,56292
DreamWorks Animation,521,81188
Imagine Entertainment,23,7552
Columbia Pictures Corporation,441,7552
JC 23 Entertainment,76714,7552
Cruise/Wagner Productions,44,616
Warner Bros.,6194,616
Radar Pictures,14718,616
"Bedford Falls Company, The",20634,616
Scott Free Productions,1645,147441
Chernin Entertainment,7076,147441
Babieka,20656,147441
Volcano Films,52184,147441
Paramount Pictures,4,13475
Spyglass Entertainment,158,13475
Bad Robot,11461,13475
MavroCine Pictures GmbH & Co. KG,23419,13475
Columbia Pictures,5,557
Marvel Enterprises,19551,557
DreamWorks Animation,521,82702
Mad Hatter Entertainment,20154,82702
Summit Entertainment,491,205584
Mystery Clock Cinema,908,205584
Thunder Road Pictures,3528,205584
TIK Films,72441,205584
Pyramania,88715,205584
Laura Ziskin Productions,326,10048
Original Film,333,10048
Columbia Pictures Corporation,441,10048
Phoenix Pictures,11317,10048
AFG Talons Productions,19523,10048
Paramount Pictures,4,13183
DC Comics,429,13183
Lawrence Gordon Productions,840,13183
Legendary Pictures,923,13183
Warner Bros.,6194,13183
Cruel and Unusual Films,78685,13183
Silver Pictures,1885,944
Donner/Shuler-Donner Productions,5739,944
Warner Bros.,6194,944
Universal Pictures,33,1927
Good Machine,10565,1927
Valhalla Motion Pictures,11533,1927
Marvel Enterprises,19551,1927
Paramount Pictures,4,72559
Di Bonaventura Pictures,435,72559
Hasbro,2598,72559
Skydance Productions,6277,72559
Metro-Goldwyn-Mayer (MGM),8411,72559
Saints LA,19719,72559
Paramount Pictures,4,7364
Bristol Bay Productions,2233,7364
Baldwin Entertainment Group,2234,7364
Desertlands Entertainment,2235,7364
Mace Neufeld Productions,2767,7364
Kanzaman,4169,7364
J.K. Livin Productions,12124,7364
Moguletta,12125,7364
Sahara Productions,12126,7364
Babelsberg Film,19481,7364
Columbia Pictures,5,2114
Square USA,4164,2114
Chris Lee Productions,20033,2114
Marvel Studios,420,1771
Eon Productions,7576,36643
Metro-Goldwyn-Mayer (MGM),8411,36643
Universal Pictures,33,8619
Twentieth Century Fox Film Corporation,306,8619
Samuel Goldwyn Films,9118,8619
Miramax,53009,8619
Summit Entertainment,491,50620
Sunswept Entertainment,5219,50620
Temple Hill Entertainment,12292,50620
Village Roadshow Pictures,79,65759
Warner Bros.,6194,65759
Dr D Studios,28381,65759
Kennedy Miller Mitchell,28382,65759
Universal Pictures,33,1724
Marvel Studios,420,1724
Valhalla Motion Pictures,11533,1724
MVL Incredible Productions,25121,1724
Walt Disney Pictures,2,267935
Amblin Entertainment,56,267935
Reliance Entertainment,7294,267935
"Kennedy/Marshall Company, The",7383,267935
Walden Media,10221,267935
Regency Enterprises,508,281957
Appian Way,562,281957
CatchPlay,8870,281957
Anonymous Content,10039,281957
New Regency Pictures,10104,281957
Hong Kong Alpha Motion Pictures Co.,13796,281957
RatPac Entertainment,28732,281957
M Productions,52660,281957
Monarchy Enterprises S.a.r.l.,77845,281957
DreamWorks Animation,521,77950
Paramount Pictures,4,44896
Nickelodeon Movies,2348,44896
GK Films,3281,44896
Blind Wink,10262,44896
Paramount Animation,24955,44896
DreamWorks Animation,521,270946
Universal Pictures,33,2503
The Kennedy/Marshall Company,862,2503
Ludlum Entertainment,11347,2503
Motion Picture BETA Produktionsgesellschaft,11348,2503
Bourne Again,11349,2503
DreamWorks Animation,521,9502
Marvel Studios,420,102899
Lionsgate,1632,101299
Color Force,5420,101299
Twentieth Century Fox Film Corporation,306,228161
DreamWorks Animation,521,228161
Paramount Pictures,4,74
DreamWorks SKG,27,74
Cruise/Wagner Productions,44,74
Amblin Entertainment,56,74
Columbia Pictures Corporation,441,8961
Don Simpson/Jerry Bruckheimer Films,10288,8961
DreamWorks,7,417859
Columbia Pictures,5,27576
Di Bonaventura Pictures,435,27576
Relativity Media,7295,27576
Wintergreen Productions,11845,27576
Paramount Pictures,4,86834
Regency Enterprises,508,86834
Protozoa Pictures,7503,86834
Disruption Entertainment,10256,86834
Paramount Pictures,4,17578
Columbia Pictures,5,17578
WingNut Films,11,17578
Amblin Entertainment,56,17578
Nickelodeon Movies,2348,17578
"Kennedy/Marshall Company, The",7383,17578
Hemisphere Media Capital,9169,17578
1492 Pictures,436,673
Heyday films,437,673
Warner Bros.,6194,673
Bazmark Films,240,6972
Ingenious Film Partners,289,6972
Twentieth Century Fox Film Corporation,306,6972
Dune Entertainment III,6332,6972
ScreenWest,7888,6972
Columbia Pictures,5,82700
Blinding Edge Pictures,12236,82700
Overbrook Entertainment,12485,82700
Walt Disney Pictures,2,10567
Walt Disney Feature Animation,10217,10567
Twentieth Century Fox Film Corporation,306,181533
1492 Pictures,436,181533
21 Laps Entertainment,2575,181533
Moving Picture Company (MPC),20478,181533
TSG Entertainment,22213,181533
DreamWorks Animation,521,38055
1492 Pictures,436,671
Warner Bros.,6194,671
Heyday Films,7364,671
Universal Pictures,33,49524
Original Film,333,49524
Dark Horse Entertainment,552,49524
Walt Disney Pictures,2,22
Jerry Bruckheimer Films,130,22
Lionsgate,1632,131631
Color Force,5420,131631
Columbia Pictures,5,591
Imagine Entertainment,23,591
Skylark Productions,8253,591
Government of Malta,19927,591
Blue Sky Studios,9383,172385
Twentieth Century Fox Animation,11749,172385
Twentieth Century Fox Film Corporation,306,36658
Donners' Company,431,36658
Bad Hat Harry Productions,9168,36658
Marvel Enterprises,19551,36658
XM2 Productions,79026,36658
XF2 Canada Productions,79027,36658
Universal Pictures,33,51497
Original Film,333,51497
One Race Productions,1225,51497
Village Roadshow Pictures,79,58574
Silver Pictures,1885,58574
Lin Pictures,2723,58574
Warner Bros.,6194,58574
Wigram Productions,23202,58574
The Zanuck Company,80,18823
Legendary Pictures,923,18823
Thunder Road Pictures,3528,18823
Warner Bros.,6194,18823
Moving Picture Company (MPC),20478,18823
TriStar Pictures,559,861
Carolco Pictures,14723,861
Carolco International N.V.,80461,861
Touchstone Pictures,9195,1911
Universal Pictures,33,49040
Dentsu,6452,49040
Relativity Media,7295,49040
"Kennedy/Marshall Company, The",7383,49040
Captivate Entertainment,25716,49040
PolyGram Filmed Entertainment,1382,415
Warner Bros.,6194,415
Imagine Entertainment,23,8871
Universal Pictures,33,8871
Lions Gate Films,35,435
Twentieth Century Fox Film Corporation,306,435
Centropolis Entertainment,347,435
Mark Gordon Productions,11362,435
Mel's Cite du Cinema,54502,435
Paramount Pictures,4,955
Cruise/Wagner Productions,44,955
Munich Film Partners & Company (MFP) MI2 Productions,51199,955
Warner Bros.,6194,2133
Baltimore Spring Creek Productions,16061,2133
Radiant Productions,18990,2133
Ingenious Film Partners,289,1979
Twentieth Century Fox Film Corporation,306,1979
1492 Pictures,436,1979
Dune Entertainment,444,1979
Constantin Film Produktion,5755,1979
Bernd Eichinger Productions,10881,1979
Marvel Enterprises,19551,1979
Ingenious Film Partners,289,87827
Ingenious Media,290,87827
Dune Entertainment,444,87827
Fox 2000 Pictures,711,87827
Big Screen Productions,10893,87827
Haishang Films,13480,87827
Columbia Pictures Corporation,441,1250
Relativity Media,7295,1250
Michael De Luca Productions,11370,1250
Marvel Enterprises,19551,1250
Crystal Sky Pictures,20241,1250
GH One,20475,1250
Vengeance Productions Pty. Ltd.,20476,1250
The Kennedy/Marshall Company,862,324668
Captivate Entertainment,25716,324668
Pearl Street Films,29313,324668
Double Negative,31922,324668
Perfect World (Beijing) Pictures Co.,83871,324668
Columbia Pictures,5,9471
Wonderland Sound and Vision,4022,9471
Tall Trees Productions,10239,9471
Flower Films (II),19813,9471
Twentieth Century Fox Film Corporation,306,70981
Dune Entertainment,444,70981
Scott Free Productions,1645,70981
Brandywine Productions,19747,70981
Columbia Pictures,5,10996
Sony Pictures Entertainment,5752,10996
TriStar Pictures,559,68724
Media Rights Capital,2531,68724
Sony Pictures Entertainment (SPE),7431,68724
QED International,11029,68724
Alpha Core,18209,68724
Genre Films,28788,68724
Simon Kinberg Productions,31076,68724
One Race Films,7154,2789
Radar Pictures,14718,2789
Columbia Pictures,5,97020
Strike Entertainment,655,97020
Metro-Goldwyn-Mayer (MGM),8411,97020
Village Roadshow Pictures,79,7459
Studio Babelsberg,264,7459
Anarchos Productions,450,7459
Silver Pictures,1885,7459
Warner Bros.,6194,7459
Velocity Productions,12170,7459
Columbia Pictures,5,42888
Gracie Films,18,42888
Road Rebel,2648,42888
Tree Line Films,84,37834
Twentieth Century Fox Film Corporation,306,37834
Dune Entertainment,444,37834
Regency Enterprises,508,37834
Pink Machine,21845,37834
Universal Pictures,33,75612
Chernin Entertainment,7076,75612
Relativity Media,7295,75612
Monolith Pictures (III),19647,75612
Radical Studios,19648,75612
Lucasfilm,1,1895
Lucasfilm,1,1894
Walt Disney Pictures,2,585
Pixar Animation Studios,3,585
Twentieth Century Fox Film Corporation,306,76170
Donners' Company,431,76170
Marvel Entertainment,7505,76170
Bad Hat Harry Productions,9168,76170
Big Screen Productions,10893,76170
TSG Entertainment,22213,76170
Lucasfilm,1,1893
DreamWorks Animation,521,49519
Constantin Film,47,2395
TF1 Films Productions,356,2395
Pathé Renn Productions,866,2395
La Petite Reine,1992,2395
Tri Pictures,1994,2395
Sorolla Films,1995,2395
Novo RPI,1996,2395
Canal+,5358,2395
uFilm,8676,2395
Canal+ España,9335,2395
Le Tax Shelter du Gouvernement Fédéral de Belgique,11921,2395
Les Editions Albert René,20409,2395
Lion Rock Productions,2812,12100
Metro-Goldwyn-Mayer (MGM),8411,12100
Universal Pictures,33,290595
Perfect World Pictures,10338,290595
Roth Films,16314,290595
Paramount Pictures,4,98566
Nickelodeon Movies,2348,98566
